Group,color_hex_group,Subclass,color_hex_subclass,Class,color_hex_class,Neighborhood,color_hex_neighborhood
STRd D2 Matrix MSN,#aec7e8,STR D2 MSN,#253c8c,CN LGE GABA,#d0b83c,Subpallium GABA,#19613b
STRv D2 MSN,#98df8a,STR D2 MSN,#253c8c,CN LGE GABA,#d0b83c,Subpallium GABA,#19613b
STRd D2 Striosome MSN,#ff9896,STR D2 MSN,#253c8c,CN LGE GABA,#d0b83c,Subpallium GABA,#19613b
STRd D2 StrioMat Hybrid MSN,#5713c3,STR D2 MSN,#253c8c,CN LGE GABA,#d0b83c,Subpallium GABA,#19613b
STRv D1 NUDAP MSN,#e377c2,STR Hybrid MSN,#79bdf4,CN LGE GABA,#d0b83c,Subpallium GABA,#19613b
STR D1D2 Hybrid MSN,#9467bd,STR Hybrid MSN,#79bdf4,CN LGE GABA,#d0b83c,Subpallium GABA,#19613b
OT D1 ICj,#ff7f0e,OT Granular GABA,#9160cb,CN LGE GABA,#d0b83c,Subpallium GABA,#19613b
OB FRMD7 GABA,#cd0753,ACx MEIS2 GABA,#3636ed,Cx GABA,#ebb3a7,Subpallium GABA,#19613b
OB Dopa-GABA,#902f6b,ACx MEIS2 GABA,#3636ed,Cx GABA,#ebb3a7,Subpallium GABA,#19613b
GPi Shell,#642265,CN GABA-Glut,#d2599a,CN GABA-Glut,#1c8d83,Subpallium GABA-Glut,#7e1d19
